2026-06-28 17:36:33,252 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:36:33,267 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:36:33,267 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:36:33,267 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:36:33,844 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:36:33,848 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:36:33,848 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:36:33,849 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:36:33,997 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:36:33,997 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:37:33,019 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:37:33,516 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:37:33,517 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:37:34,027 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:37:34,028 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:37:34,028 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:37:34,029 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:37:34,049 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:37:34,050 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:37:34,050 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:37:34,540 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:37:34,545 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:37:34,545 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:37:34,546 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:37:34,700 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:37:34,701 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:38:26,723 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:38:26,723 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:26,724 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:26,745 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:26,745 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:38:26,746 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_173826.xlsx
2026-06-28 17:38:26,896 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:38:33,899 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:38:34,789 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:38:34,790 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:38:35,246 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:38:35,247 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:38:35,248 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:35,248 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:35,261 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:35,261 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:38:35,261 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:38:35,732 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:38:35,737 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:38:35,737 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:38:35,737 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:38:35,914 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:38:35,914 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:39:33,936 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:39:34,251 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:39:34,252 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:39:34,742 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:39:34,744 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:39:34,744 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:39:34,745 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:39:34,767 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:39:34,767 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:39:34,767 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:39:35,212 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:39:35,216 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:39:35,216 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:39:35,218 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:39:35,398 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:39:35,398 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:40:27,419 | INFO     | src.excel.exporter | Loading report data...
2026-06-28 17:40:27,419 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:27,420 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:27,458 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:27,458 | INFO     | src.excel.exporter | 50 rows loaded.
2026-06-28 17:40:27,458 | INFO     | src.excel.exporter | Generating Excel: exports\Holonet_20260628_174027.xlsx
2026-06-28 17:40:27,570 | INFO     | src.excel.exporter | Excel generated successfully.
2026-06-28 17:40:34,573 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:40:34,901 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:40:34,902 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:40:35,382 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:40:35,383 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:40:35,383 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:35,384 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:35,393 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:35,393 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:40:35,393 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
2026-06-28 17:40:35,925 | INFO     | src.api.starlink_client | Usage retrieved successfully.
2026-06-28 17:40:35,929 | INFO     | src.database.repository | Processing 50 service lines...
2026-06-28 17:40:35,929 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:40:35,930 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:40:36,093 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:40:36,093 | INFO     | src.database.repository | Usage saved successfully.
2026-06-28 17:41:35,118 | INFO     | src.api.auth | Requesting Starlink OAuth token...
2026-06-28 17:41:35,458 | INFO     | src.api.auth | OAuth token obtained successfully.
2026-06-28 17:41:35,460 | INFO     | src.api.starlink_client | Retrieving Starlink products...
2026-06-28 17:41:35,927 | INFO     | src.api.starlink_client | Products retrieved successfully.
2026-06-28 17:41:35,928 | INFO     | src.database.repository | Saving 2 products...
2026-06-28 17:41:35,928 | INFO     | src.database.connection | Connecting to SQL Server...
2026-06-28 17:41:35,929 | INFO     | src.database.connection | Connected successfully.
2026-06-28 17:41:35,951 | INFO     | src.database.connection | SQL Server connection closed.
2026-06-28 17:41:35,951 | INFO     | src.database.repository | Products saved successfully.
2026-06-28 17:41:35,951 | INFO     | src.api.starlink_client | Retrieving Starlink usage...
